temp_c,hum_pct,gas_ppm,temp_class,temp_membership,hum_class,hum_membership,gas_class,gas_membership,confidence
4.2,60.0,570,0,0.86,2,1.0,2,0.6666666666666666,2.5517241379310347
4.2,60.0,568,0,0.86,2,1.0,2,0.5333333333333333,2.5000000000000004
4.2,60.0,568,0,0.86,2,1.0,2,0.5333333333333333,2.5000000000000004
4.2,60.4,536,0,0.86,2,0.9200000000000003,1,0.64,1.9958333333333336
4.2,60.4,541,0,0.86,2,0.9200000000000003,1,0.59,1.9958333333333336
4.1,60.4,539,0,0.8633333333333333,2,0.9200000000000003,1,0.61,1.9958333333333336
4.2,60.4,541,0,0.86,2,0.9200000000000003,1,0.59,1.9958333333333336
4.2,60.4,539,0,0.86,2,0.9200000000000003,1,0.61,1.9958333333333336
4.2,60.4,547,0,0.86,2,0.9200000000000003,1,0.53,1.9958333333333336
4.2,60.4,543,0,0.86,2,0.9200000000000003,1,0.57,1.9958333333333336
4.2,60.4,543,0,0.86,2,0.9200000000000003,1,0.57,1.9958333333333336
4.2,60.4,540,0,0.86,2,0.9200000000000003,1,0.6,1.9958333333333336
4.2,60.4,546,0,0.86,2,0.9200000000000003,1,0.54,1.9958333333333336
4.2,60.3,542,0,0.86,2,0.9400000000000006,1,0.58,1.9969072164948454
4.2,60.4,542,0,0.86,2,0.9200000000000003,1,0.58,1.9958333333333336
4.2,60.5,540,0,0.86,2,0.9,1,0.6,1.9947368421052634
4.2,60.4,535,0,0.86,2,0.9200000000000003,1,0.65,1.9958333333333336
4.2,60.4,536,0,0.86,2,0.9200000000000003,1,0.64,1.9958333333333336
4.2,60.4,537,0,0.86,2,0.9200000000000003,1,0.63,1.9958333333333336
4.2,60.4,538,0,0.86,2,0.9200000000000003,1,0.62,1.9958333333333336
4.2,60.4,540,0,0.86,2,0.9200000000000003,1,0.6,1.9958333333333336
4.2,60.4,535,0,0.86,2,0.9200000000000003,1,0.65,1.9958333333333336
4.2,60.4,537,0,0.86,2,0.9200000000000003,1,0.63,1.9958333333333336
4.1,60.4,542,0,0.8633333333333333,2,0.9200000000000003,1,0.58,1.9958333333333336
4.1,60.4,544,0,0.8633333333333333,2,0.9200000000000003,1,0.56,1.9958333333333336
4.2,60.4,542,0,0.86,2,0.9200000000000003,1,0.58,1.9958333333333336
4.2,60.4,538,0,0.86,2,0.9200000000000003,1,0.62,1.9958333333333336
4.1,60.4,540,0,0.8633333333333333,2,0.9200000000000003,1,0.6,1.9958333333333336
4.2,60.5,535,0,0.86,2,0.9,1,0.65,1.9947368421052634
4.1,60.4,537,0,0.8633333333333333,2,0.9200000000000003,1,0.63,1.9958333333333336
4.1,60.4,539,0,0.8633333333333333,2,0.9200000000000003,1,0.61,1.9958333333333336
4.1,60.4,547,0,0.8633333333333333,2,0.9200000000000003,1,0.53,1.9958333333333336
4.1,60.4,537,0,0.8633333333333333,2,0.9200000000000003,1,0.63,1.9958333333333336
4.2,60.5,539,0,0.86,2,0.9,1,0.61,1.9947368421052634
4.1,60.4,538,0,0.8633333333333333,2,0.9200000000000003,1,0.62,1.9958333333333336
4.1,60.4,533,0,0.8633333333333333,2,0.9200000000000003,1,0.67,1.9958333333333336
4.1,60.5,532,0,0.8633333333333333,2,0.9,1,0.68,1.9947368421052634
4.1,60.5,540,0,0.8633333333333333,2,0.9,1,0.6,1.9947368421052634
4.1,60.5,534,0,0.8633333333333333,2,0.9,1,0.66,1.9947368421052634
4.1,60.5,536,0,0.8633333333333333,2,0.9,1,0.64,1.9947368421052634
4.1,60.5,547,0,0.8633333333333333,2,0.9,1,0.53,1.9947368421052634
4.1,60.5,535,0,0.8633333333333333,2,0.9,1,0.65,1.9947368421052634
4.1,60.5,534,0,0.8633333333333333,2,0.9,1,0.66,1.9947368421052634
4.1,60.5,538,0,0.8633333333333333,2,0.9,1,0.62,1.9947368421052634
4.1,60.5,536,0,0.8633333333333333,2,0.9,1,0.64,1.9947368421052634
4.1,60.5,534,0,0.8633333333333333,2,0.9,1,0.66,1.9947368421052634
4.1,60.4,538,0,0.8633333333333333,2,0.9200000000000003,1,0.62,1.9958333333333336
4.1,60.5,545,0,0.8633333333333333,2,0.9,1,0.55,1.9947368421052634
4.1,60.5,535,0,0.8633333333333333,2,0.9,1,0.65,1.9947368421052634
4.1,60.5,535,0,0.8633333333333333,2,0.9,1,0.65,1.9947368421052634
4.1,60.5,540,0,0.8633333333333333,2,0.9,1,0.6,1.9947368421052634
4.1,60.5,534,0,0.8633333333333333,2,0.9,1,0.66,1.9947368421052634
4.1,60.5,534,0,0.8633333333333333,2,0.9,1,0.66,1.9947368421052634
4.1,60.5,541,0,0.8633333333333333,2,0.9,1,0.59,1.9947368421052634
4.1,60.5,539,0,0.8633333333333333,2,0.9,1,0.61,1.9947368421052634
4.1,60.5,537,0,0.8633333333333333,2,0.9,1,0.63,1.9947368421052634
4.1,60.5,543,0,0.8633333333333333,2,0.9,1,0.57,1.9947368421052634
4.1,60.5,539,0,0.8633333333333333,2,0.9,1,0.61,1.9947368421052634
4.1,60.6,538,0,0.8633333333333333,2,0.8799999999999997,1,0.62,1.993617021276596
4.1,60.5,539,0,0.8633333333333333,2,0.9,1,0.61,1.9947368421052634
4.1,60.6,535,0,0.8633333333333333,2,0.8799999999999997,1,0.65,1.993617021276596
4.1,60.5,537,0,0.8633333333333333,2,0.9,1,0.63,1.9947368421052634
4.1,60.5,546,0,0.8633333333333333,2,0.9,1,0.54,1.9947368421052634
4.1,60.6,534,0,0.8633333333333333,2,0.8799999999999997,1,0.66,1.993617021276596
4.1,60.6,535,0,0.8633333333333333,2,0.8799999999999997,1,0.65,1.993617021276596
4.1,60.5,534,0,0.8633333333333333,2,0.9,1,0.66,1.9947368421052634
4.1,60.6,538,0,0.8633333333333333,2,0.8799999999999997,1,0.62,1.993617021276596
4.1,60.5,536,0,0.8633333333333333,2,0.9,1,0.64,1.9947368421052634
4.1,60.6,536,0,0.8633333333333333,2,0.8799999999999997,1,0.64,1.993617021276596
4.1,60.6,533,0,0.8633333333333333,2,0.8799999999999997,1,0.67,1.993617021276596
4.1,60.6,534,0,0.8633333333333333,2,0.8799999999999997,1,0.66,1.993617021276596
4.1,60.5,532,0,0.8633333333333333,2,0.9,1,0.68,1.9947368421052634
4.1,60.6,537,0,0.8633333333333333,2,0.8799999999999997,1,0.63,1.993617021276596
4.1,60.6,541,0,0.8633333333333333,2,0.8799999999999997,1,0.59,1.993617021276596
4.1,60.6,534,0,0.8633333333333333,2,0.8799999999999997,1,0.66,1.993617021276596
4.1,60.6,533,0,0.8633333333333333,2,0.8799999999999997,1,0.67,1.993617021276596
4.1,60.6,533,0,0.8633333333333333,2,0.8799999999999997,1,0.67,1.993617021276596
4.1,60.6,534,0,0.8633333333333333,2,0.8799999999999997,1,0.66,1.993617021276596
4.1,60.7,545,0,0.8633333333333333,2,0.8599999999999994,1,0.55,1.99247311827957
4.1,60.6,540,0,0.8633333333333333,2,0.8799999999999997,1,0.6,1.993617021276596
4.1,60.5,537,0,0.8633333333333333,2,0.9,1,0.63,1.9947368421052634
4.1,60.6,544,0,0.8633333333333333,2,0.8799999999999997,1,0.56,1.993617021276596
4.1,60.7,546,0,0.8633333333333333,2,0.8599999999999994,1,0.54,1.99247311827957
4.1,60.7,549,0,0.8633333333333333,2,0.8599999999999994,1,0.51,1.99247311827957
4.1,60.7,549,0,0.8633333333333333,2,0.8599999999999994,1,0.51,1.99247311827957
4.1,60.7,552,0,0.8633333333333333,2,0.8599999999999994,1,0.48,1.99247311827957
4.1,60.7,561,0,0.8633333333333333,2,0.8599999999999994,1,0.39,2.109261439447453
4.1,60.8,566,0,0.8633333333333333,2,0.8400000000000005,2,0.4,2.4237367802585195
